NO,DESC,PNR,SNR,LLP_HRS_AT_SV,LLP_CYC_AT_SV,LLP_TSN,LLP_CSN,CYC_LIMIT,%_CYC_USED,%_CYC_REM,REM_CYC,LLP_DUE
1,SPOOL ASSY- BOOSTER,338-001-906-0,DF038038,20939,13447,24716.5,16001,30000.0,46.66,53.34,13999.0,2061-09-28
2,DISK ASSY-FAN,338-001-504-0,MA280963,20939,13447,24716.5,16001,30000.0,46.66,53.34,13999.0,2061-09-28
3,SHAFT ASSY- FAN,338-010-601-0,DF804506,20939,13447,24716.5,16001,30000.0,46.66,53.34,13999.0,2061-09-28
4,SHAFT-CPRSR ROTOR,1386M56P03,GWN1361J,0,0,3777.5,2554,20000.0,87.23,12.769999999999996,17446.0,2071-06-01
5,SPOOL ASSY- CPRSR ROTOR STAGES 1 AND 2,1558M31G07,FGB0FFFM,0,0,3777.5,2554,20000.0,87.23,12.769999999999996,17446.0,2071-06-01
6,DISK-STG 3,2116M23P01,XAE1394U,0,0,3777.5,2554,20000.0,87.23,12.769999999999996,17446.0,2071-06-01
7,SPOOL ASSY- CPRSR ROTOR STAGES 4 THR,2048M20G04,GWN12WGC,0,0,3777.5,2554,20000.0,87.23,12.769999999999996,17446.0,2071-06-01
8,SEAL- ROTATING AIR REAR,2116M25P01,GFF5K5D4,0,0,3777.5,2554,20000.0,87.23,12.769999999999996,17446.0,2071-06-01
9,SHAFT-HPT FRONT,2048M21P03,XAELP607,0,0,3777.5,2554,20000.0,87.23,12.769999999999996,17446.0,2071-06-01
10,SEAL- ROTATING AIR HPT FRONT,2410M50P02,XAEME283,0,0,3777.5,2554,20000.0,87.23,12.769999999999996,17446.0,2071-06-01
11,DISK-HPT ROTOR,2410M49P02,GWN1382K,0,0,3777.5,2554,20000.0,87.23,12.769999999999996,17446.0,2071-06-01
12,SHAFT-HPT REAR,1864M90P04,TMT12TPD,0,0,3777.5,2554,20000.0,87.23,12.769999999999996,17446.0,2071-06-01
13,DISK-LPT STG 1,336-001-804-0,PA880899,20939,13447,24716.5,16001,25000.0,36.0,64.0,8999.0,2047-09-17
14,DISK-LPT STG 2,336-001-909-0,PA886243,20939,13447,24716.5,16001,25000.0,36.0,64.0,8999.0,2047-09-17
15,DISK-LPT STG 3,336-002-006-0,PA875065,20939,13447,24716.5,16001,25000.0,36.0,64.0,8999.0,2047-09-17
16,DISK-LPT STG 4,336-002-105-0,PA902873,20939,13447,24716.5,16001,25000.0,36.0,64.0,8999.0,2047-09-17
17,"SUPPORT, CONICAL LPT",340-301-702-0,DH704764,20939,13447,24716.5,16001,25000.0,36.0,64.0,8999.0,2047-09-17
18,SHAFT-LPT,338-010-005-0,PA847273,20939,13447,24716.5,16001,25000.0,36.0,64.0,8999.0,2047-09-17
19,CASE LPT,338-117-407-0,DF790863,20939,13447,24716.5,16001,,,,,
20,FRAME ASSY-LPT,338-171-707-0,PA909189,20939,13447,24716.5,16001,,,,,
