MON-YEAR,MON_NUM_REV_FLIGHTS,MON_NUM_DELAYS,MON_FLEET_HOURS,MON_FLEET_CYC,DR,TIA,TIA_RATE,SI
2022-02-01,,,,,,,,
2022-03-01,,,,,,,,
2022-04-01,27.0,0.0,65.4,27.0,100.0,0.0,0.0,0.0
2022-05-01,30.0,1.0,53.71666666666667,30.0,96.0,0.0,0.0,6.666666666666667
2022-06-01,14.0,0.0,20.916666666666668,14.0,100.0,,,0.0
2022-07-01,,,,,,,,
2022-08-01,,,,,,,,
2022-09-01,,,,,,,,
2022-10-01,,,,,,,,
2022-11-01,,,,,,,,
2022-12-01,,,,,,,,
2023-05-01,,,,,,,,
