NO,DESC,PNR,SNR,LLP_HRS_AT_SV,LLP_CYC_AT_SV,LLP_TSN,LLP_CSN,CYC_LIMIT,%_CYC_USED,%_CYC_REM,REM_CYC,LLP_DUE
1,SPOOL ASSY- BOOSTER,338-001-906-0,DF038058,22150,14311,26416.5,17107,30000.0,42.98,57.02,12893.0,2036-03-12
2,DISK ASSY-FAN,338-001-504-0,MA276279,22150,14311,26416.5,17107,30000.0,42.98,57.02,12893.0,2036-03-12
3,SHAFT ASSY- FAN,338-010-601-0,DF804348,22150,14311,26416.5,17107,30000.0,42.98,57.02,12893.0,2036-03-12
4,SHAFT-CPRSR ROTOR,1386M56P03,GWN13MP7,0,0,4266.5,2796,20000.0,86.02,13.980000000000004,17204.0,2040-10-15
5,SPOOL ASSY- CPRSR ROTOR STAGES 1 AND 2,1558M31G07,FGB0GCWK,0,0,4266.5,2796,20000.0,86.02,13.980000000000004,17204.0,2040-10-15
6,DISK-STG 3,2116M23P01,XAE2602U,0,0,4266.5,2796,20000.0,86.02,13.980000000000004,17204.0,2040-10-15
7,SPOOL ASSY- CPRSR ROTOR STAGES 4 THR,2048M20G04,GWN13KGS,0,0,4266.5,2796,20000.0,86.02,13.980000000000004,17204.0,2040-10-15
8,SEAL- ROTATING AIR REAR,2116M25P01,GFFSKDT7,0,0,4266.5,2796,20000.0,86.02,13.980000000000004,17204.0,2040-10-15
9,SHAFT-HPT FRONT,2048M21P03,XAENY499,0,0,4266.5,2796,20000.0,86.02,13.980000000000004,17204.0,2040-10-15
10,SEAL- ROTATING AIR HPT FRONT,2410M50P02,XAEME818,0,0,4266.5,2796,20000.0,86.02,13.980000000000004,17204.0,2040-10-15
11,DISK-HPT ROTOR,2410M49P02,GWN13PLJ,0,0,4266.5,2796,20000.0,86.02,13.980000000000004,17204.0,2040-10-15
12,SHAFT-HPT REAR,1864M90P04,TMTl5DLK,0,0,4266.5,2796,20000.0,86.02,13.980000000000004,17204.0,2040-10-15
13,DISK-LPT STG 1,336-001-804-0,PA868717,22150,14311,26416.5,17107,25000.0,31.57,68.43,7893.0,2030-11-14
14,DISK-LPT STG 2,336-001-909-0,PA886223,22150,14311,26416.5,17107,25000.0,31.57,68.43,7893.0,2030-11-14
15,DISK-LPT STG 3,336-002-006-0,PA870802,22150,14311,26416.5,17107,25000.0,31.57,68.43,7893.0,2030-11-14
16,DISK-LPT STG 4,336-002-105-0,PA877972,22150,14311,26416.5,17107,25000.0,31.57,68.43,7893.0,2030-11-14
17,"SUPPORT, CONICAL LPT",340-301-702-0,DH704830,22150,14311,26416.5,17107,25000.0,31.57,68.43,7893.0,2030-11-14
18,SHAFT-LPT,338-010-005-0,PA833631,22150,14311,26416.5,17107,25000.0,31.57,68.43,7893.0,2030-11-14
19,CASE LPT,338-117-407-0,DH959156,22150,14311,26416.5,17107,,,,,
20,FRAME ASSY-LPT,338-171-707-0,PA866931,22150,14311,26416.5,17107,,,,,
