AC_REG,DEP_STA,ARR_STA,CYC,TO_DATE,TO_TIME (UTC),LAND_DATE,LAND_TIME (UTC),DELAY,IMPACT_DEL,DR,FL_DURR
PK-PWC,CGK,DPS,1,2022-06-10,2:43,2022-06-10,4:13,0,0,,
PK-PWC,DPS,CGK,1,2022-06-10,7:04,2022-06-10,8:39,0,0,,
PK-PWC,CGK,DPS,1,2022-06-12,2:41,2022-06-12,4:08,0,0,,
PK-PWC,DPS,CGK,1,2022-06-12,7:17,2022-06-12,8:45,0,0,,
PK-PWA,CGK,DPS,1,2022-06-22,9:49,2022-06-22,11:20,0,0,,
PK-PWA,DPS,CGK,1,2022-06-22,12:09,2022-06-22,13:49,0,0,,
PK-PWA,CGK,DPS,1,2022-06-23,9:49,2022-06-23,11:20,0,0,,
PK-PWA,DPS,CGK,1,2022-06-23,12:18,2022-06-23,13:52,0,0,,
PK-PWA,CGK,DPS,1,2022-06-24,9:51,2022-06-24,11:20,0,0,,
PK-PWA,DPS,CGK,1,2022-06-24,12:11,2022-06-24,13:41,0,0,,
PK-PWA,CGK,YIA,1,2022-06-26,7:24,2022-06-26,8:13,0,0,,
PK-PWA,YIA,CGK,1,2022-06-26,2:24,2022-06-26,3:17,0,0,,
PK-PWC,CGK,DPS,1,2022-06-13,9:12,2022-06-13,11:02,0,0,,
PK-PWC,DPS,CGK,1,2022-06-13,13:10,2022-06-13,15:00,0,0,,
PK-PWC,CGK,DPS,1,2022-06-15,9:26,2022-06-15,11:28,0,0,,
PK-PWC,DPS,CGK,1,2022-06-15,13:11,2022-06-15,15:03,0,0,,
PK-PWC,CGK,DPS,1,2022-06-17,9:20,2022-06-17,11:07,0,0,,
PK-PWC,DPS,CGK,1,2022-06-17,13:07,2022-06-17,14:56,0,0,,
PK-PWC,CGK,DPS,1,2022-06-19,9:23,2022-06-19,11:16,0,0,,
PK-PWC,DPS,CGK,1,2022-06-19,13:10,2022-06-19,15:00,0,0,,
PK-PWC,CGK,YIA,1,2022-06-20,6:48,2022-06-20,8:00,0,0,,
PK-PWC,YIA,CGK,1,2022-06-20,9:05,2022-06-20,11:18,0,0,,
PK-PWC,CGK,DPS,1,2022-06-20,11:35,2022-06-20,13:53,0,0,,
PK-PWC,DPS,CGK,1,2022-06-20,14:13,2022-06-20,15:50,0,0,,
PK-PWC,CGK,DPS,1,2022-06-20,16:41,2022-06-20,18:46,0,0,,
PK-PWC,DPS,CGK,1,2022-06-20,19:25,2022-06-20,21:07,0,0,,
PK-PWC,CGK,YIA,1,2022-06-21,6:40,2022-06-21,7:48,0,0,,
PK-PWC,YIA,CGK,1,2022-06-21,8:35,2022-06-21,9:45,0,0,,
PK-PWC,CGK,DPS,1,2022-06-21,10:53,2022-06-21,12:44,0,0,,
PK-PWC,DPS,CGK,1,2022-06-21,13:17,2022-06-21,15:06,0,0,,
PK-PWC,CGK,DPS,1,2022-06-21,16:05,2022-06-21,18:00,0,0,,
PK-PWC,DPS,CGK,1,2022-06-21,18:39,2022-06-21,20:26,0,0,,
PK-PWC,CGK,YIA,1,2022-06-22,7:29,2022-06-22,8:36,0,0,,
PK-PWC,YIA,CGK,1,2022-06-22,9:20,2022-06-22,10:41,0,0,,
PK-PWC,CGK,DPS,1,2022-06-22,11:23,2022-06-22,13:17,0,0,,
PK-PWC,DPS,CGK,1,2022-06-22,13:47,2022-06-22,15:29,0,0,,
PK-PWC,CGK,YIA,1,2022-06-23,6:55,2022-06-23,8:03,0,0,,
PK-PWC,YIA,CGK,1,2022-06-23,8:35,2022-06-23,9:48,0,0,,
PK-PWC,CGK,DPS,1,2022-06-23,10:42,2022-06-23,12:53,0,0,,
PK-PWC,DPS,CGK,1,2022-06-23,13:20,2022-06-23,15:15,0,0,,
