NO,DESC,PNR,SNR,LLP_HRS_AT_SV,LLP_CYC_AT_SV,LLP_TSN,LLP_CSN,CYC_LIMIT,%_CYC_USED,%_CYC_REM,REM_CYC,LLP_DUE
1,SPOOL ASSY- BOOSTER,338-001-906-0,DE691012,30642,15170,37540.3,19525,30000.0,34.92,65.08,10475.0,2136-05-01
2,DISK ASSY-FAN,338-001-504-0,MA233327,30642,15170,37540.3,19525,30000.0,34.92,65.08,10475.0,2136-05-01
3,SHAFT ASSY- FAN,338-010-601-0,DE801449,30642,15170,37540.3,19525,30000.0,34.92,65.08,10475.0,2136-05-01
4,SHAFT-CPRSR ROTOR,1386M56P03,GWN12TJA,0,0,6898.300000000003,4355,20000.0,78.22,21.78,15645.0,2192-07-14
5,SPOOL ASSY- CPRSR ROTOR STAGES 1 AND 2,1558M31G07,FG80FNPJ,0,0,6898.300000000003,4355,20000.0,78.22,21.78,15645.0,2192-07-14
6,DISK-STG 3,2116M23P01,XAE0733U,0,0,6898.300000000003,4355,20000.0,78.22,21.78,15645.0,2192-07-14
7,SPOOL ASSY- CPRSR ROTOR STAGES 4 THR,2048M20G04,GWN120A,0,0,6898.300000000003,4355,20000.0,78.22,21.78,15645.0,2192-07-14
8,SEAL- ROTATING AIR REAR,2116M25P01,GFF5K40A,0,0,6898.300000000003,4355,20000.0,78.22,21.78,15645.0,2192-07-14
9,SHAFT-HPT FRONT,2048M21P03,XAEMH069,0,0,6898.300000000003,4355,20000.0,78.22,21.78,15645.0,2192-07-14
10,SEAL- ROTATING AIR HPT FRONT,2410M50P02,TMT106HA,0,0,6898.300000000003,4355,20000.0,78.22,21.78,15645.0,2192-07-14
11,DISK-HPT ROTOR,2410M49P02,GWN121M0,0,0,6898.300000000003,4355,20000.0,78.22,21.78,15645.0,2192-07-14
12,SHAFT-HPT REAR,1864M90P04,TMT11J3M,0,0,6898.300000000003,4355,20000.0,78.22,21.78,15645.0,2192-07-14
13,DISK-LPT STG 1,336-001-804-0,DE690951,30642,15170,37540.3,19525,25000.0,21.9,78.1,5475.0,2081-12-22
14,DISK-LPT STG 2,336-001-909-0,DE659319,30642,15170,37540.3,19525,25000.0,21.9,78.1,5475.0,2081-12-22
15,DISK-LPT STG 3,336-002-006-0,PA259454,30642,15170,37540.3,19525,25000.0,21.9,78.1,5475.0,2081-12-22
16,DISK-LPT STG 4,336-002-105-0,DE690580,30642,15170,37540.3,19525,25000.0,21.9,78.1,5475.0,2081-12-22
17,"SUPPORT, CONICAL LPT",340-301-702-0,DE658858,30642,15170,37540.3,19525,25000.0,21.9,78.1,5475.0,2081-12-22
18,SHAFT-LPT,338-010-005-0,DE726086,30642,15170,37540.3,19525,25000.0,21.9,78.1,5475.0,2081-12-22
19,CASE LPT,338-117-407-0,DD272732,30642,15170,37540.3,19525,,,,,
20,FRAME ASSY-LPT,338-171-707-0,PA270053,30642,15170,37540.3,19525,,,,,
